iter_times,mean,var
1,0.0002345021476702,0.0
2,0.00018925016889581998,3.0581775282594875e-05
3,0.00018020882974550002,1.7920039879560755e-05
4,0.00017699142612102002,1.7827168664107428e-05
5,0.00017286789749238,2.3921191210574945e-05
6,0.00016180707568215998,2.2178788347211242e-05
7,0.00016180707568215998,2.2178788347211242e-05
8,0.00015001465795895998,1.941180552038214e-05
9,0.00015001465795895998,1.941180552038214e-05
10,0.00015001465795895998,1.941180552038214e-05
11,0.00014873251892274,1.7828922920977323e-05
12,0.00014873251892274,1.7828922920977323e-05
13,0.00014873251892274,1.7828922920977323e-05
14,0.00014873251892274,1.7828922920977323e-05
15,0.00014873251892274,1.7828922920977323e-05
16,0.00014873251892274,1.7828922920977323e-05
17,0.00014821303769307998,1.728196551271002e-05
18,0.00014423540742998,1.24927455583671e-05
19,0.00014181195496372,1.6421378099404305e-05
20,0.00013495361012776,1.8810177600831978e-05
21,0.00013495361012776,1.8810177600831978e-05
22,0.00010511432887073491,6.859402787925025e-06
23,9.319054527187357e-05,6.657057489811702e-06
24,8.907485452647432e-05,4.153850391974537e-06
25,8.821226405283318e-05,4.8525830742543955e-06
26,8.563994191615537e-05,2.3536046269161253e-06
27,8.563994191615537e-05,2.3536046269161253e-06
28,8.507213331190618e-05,3.046591147772473e-06
29,8.507213331190618e-05,3.046591147772473e-06
30,8.500659989690517e-05,2.989367689903479e-06
31,8.445192379055193e-05,3.3960934669621737e-06
32,8.396734588570952e-05,2.6970329597246964e-06
33,8.395425455341185e-05,2.6996084238863744e-06
34,8.395425455341185e-05,2.6996084238863744e-06
35,8.395425455341185e-05,2.6996084238863744e-06
36,8.329204698562614e-05,2.118767138000282e-06
37,8.329204698562614e-05,2.118767138000282e-06
38,8.329204698562614e-05,2.118767138000282e-06
39,8.329204698562614e-05,2.118767138000282e-06
40,8.329204698562614e-05,2.118767138000282e-06
41,8.329204698562614e-05,2.118767138000282e-06
42,8.314014649876988e-05,2.140440900329744e-06
43,8.314014649876988e-05,2.140440900329744e-06
44,8.314014649876988e-05,2.140440900329744e-06
45,8.314014649876988e-05,2.140440900329744e-06
46,8.294576591556414e-05,2.244140798635146e-06
47,8.294576591556414e-05,2.244140798635146e-06
48,8.294576591556414e-05,2.244140798635146e-06
49,8.294576591556414e-05,2.244140798635146e-06
50,8.294576591556414e-05,2.244140798635146e-06
51,8.294576591556414e-05,2.244140798635146e-06
52,8.294576591556414e-05,2.244140798635146e-06
53,8.294576591556414e-05,2.244140798635146e-06
54,8.294576591556414e-05,2.244140798635146e-06
55,8.294576591556414e-05,2.244140798635146e-06
56,8.202094798144184e-05,1.0306337936421e-06
57,8.202094798144184e-05,1.0306337936421e-06
58,8.192353560537327e-05,8.18967854050327e-07
59,8.192353560537327e-05,8.18967854050327e-07
60,8.192353560537327e-05,8.18967854050327e-07
61,8.192353560537327e-05,8.18967854050327e-07
62,8.142164050677219e-05,3.969296102373749e-07
63,8.142164050677219e-05,3.969296102373749e-07
64,8.142164050677219e-05,3.969296102373749e-07
65,8.142164050677219e-05,3.969296102373749e-07
66,8.142164050677219e-05,3.969296102373749e-07
67,8.142164050677219e-05,3.969296102373749e-07
68,8.142164050677219e-05,3.969296102373749e-07
69,8.142164050677219e-05,3.969296102373749e-07
70,8.142164050677219e-05,3.969296102373749e-07
71,8.142164050677219e-05,3.969296102373749e-07
72,8.142164050677219e-05,3.969296102373749e-07
73,8.142164050677219e-05,3.969296102373749e-07
74,8.142164050677219e-05,3.969296102373749e-07
75,8.142164050677219e-05,3.969296102373749e-07
76,8.142164050677219e-05,3.969296102373749e-07
77,8.142164050677219e-05,3.969296102373749e-07
78,8.142164050677219e-05,3.969296102373749e-07
79,8.142164050677219e-05,3.969296102373749e-07
80,8.142164050677219e-05,3.969296102373749e-07
81,8.142164050677219e-05,3.969296102373749e-07
82,8.142164050677219e-05,3.969296102373749e-07
83,8.142164050677219e-05,3.969296102373749e-07
84,8.142164050677219e-05,3.969296102373749e-07
85,8.142164050677219e-05,3.969296102373749e-07
86,8.142164050677219e-05,3.969296102373749e-07
87,8.142164050677219e-05,3.969296102373749e-07
88,8.142164050677219e-05,3.969296102373749e-07
89,8.142164050677219e-05,3.969296102373749e-07
90,8.142164050677219e-05,3.969296102373749e-07
91,8.142164050677219e-05,3.969296102373749e-07
92,8.142164050677219e-05,3.969296102373749e-07
93,8.142164050677219e-05,3.969296102373749e-07
94,8.142164050677219e-05,3.969296102373749e-07
95,8.142164050677219e-05,3.969296102373749e-07
96,8.142164050677219e-05,3.969296102373749e-07
97,8.142164050677219e-05,3.969296102373749e-07
98,8.142164050677219e-05,3.969296102373749e-07
99,8.142164050677219e-05,3.969296102373749e-07
100,8.142164050677219e-05,3.969296102373749e-07
101,8.142164050677219e-05,3.969296102373749e-07
102,8.142164050677219e-05,3.969296102373749e-07
103,8.142164050677219e-05,3.969296102373749e-07
104,8.142164050677219e-05,3.969296102373749e-07
105,8.142164050677219e-05,3.969296102373749e-07
106,8.142164050677219e-05,3.969296102373749e-07
107,8.142164050677219e-05,3.969296102373749e-07
108,8.142164050677219e-05,3.969296102373749e-07
109,8.142164050677219e-05,3.969296102373749e-07
110,8.142164050677219e-05,3.969296102373749e-07
111,8.142164050677219e-05,3.969296102373749e-07
112,8.142164050677219e-05,3.969296102373749e-07
113,8.142164050677219e-05,3.969296102373749e-07
