iter_times,mean,var
1,0.0002968,0.0
2,0.0002966736530554,2.825203568750049e-07
3,0.00028463156216649996,2.442038142575811e-05
4,0.00028235019622804,2.3591938833196577e-05
5,0.00028235019622804,2.3591938833196577e-05
6,0.00027762953498784,3.398699886987687e-05
7,0.00027360872691434,3.2094869529881415e-05
8,0.00025363932237432,4.853787898522523e-05
9,0.00025363932237432,4.853787898522523e-05
10,0.00025363932237432,4.853787898522523e-05
11,0.00025354510019644,4.844907574206411e-05
12,0.00024345012059683998,4.4032258131958565e-05
13,0.00023722810498896,4.684763940495606e-05
14,0.00023722810498896,4.684763940495606e-05
15,0.00023722810498896,4.684763940495606e-05
16,0.00023722810498896,4.684763940495606e-05
17,0.00023722810498896,4.684763940495606e-05
18,0.00023722810498896,4.684763940495606e-05
19,0.00023154365207427998,4.099712054997712e-05
20,0.00022348656397277997,3.251342504721533e-05
21,0.00022348656397277997,3.251342504721533e-05
22,0.00022348656397277997,3.251342504721533e-05
23,0.00022348656397277997,3.251342504721533e-05
24,0.00022180425003247997,3.0546729976861315e-05
25,0.00022180425003247997,3.0546729976861315e-05
26,0.00022180425003247997,3.0546729976861315e-05
27,0.00022046799553369998,3.141696210237062e-05
28,0.00022046799553369998,3.141696210237062e-05
29,0.00021760907524344,3.2314910577102926e-05
30,0.00021602145784882002,3.1529196497477336e-05
31,0.00021602145784882002,3.1529196497477336e-05
32,0.00020541412583274002,3.613467373540228e-05
33,0.00018036259242586002,4.762631901632708e-05
34,0.00018036259242586002,4.762631901632708e-05
35,0.00015595880676496,3.3688312885049954e-05
36,0.00015595880676496,3.3688312885049954e-05
37,0.00015183350072578,3.211035212260163e-05
38,0.00015183350072578,3.211035212260163e-05
39,0.00015183350072578,3.211035212260163e-05
40,0.00015183350072578,3.211035212260163e-05
41,0.00014381643718088,3.064748444193747e-05
42,0.00014381643718088,3.064748444193747e-05
43,0.00014381643718088,3.064748444193747e-05
44,0.00013544231307496,3.292451142025914e-05
45,0.00013544231307496,3.292451142025914e-05
46,0.00013544231307496,3.292451142025914e-05
47,0.00013544231307496,3.292451142025914e-05
48,0.00013544231307496,3.292451142025914e-05
49,0.00013544231307496,3.292451142025914e-05
50,0.00013544231307496,3.292451142025914e-05
51,0.000135340109667,3.301699090861758e-05
52,0.00013477920858523997,3.354771249949965e-05
53,0.00013477920858523997,3.354771249949965e-05
54,0.00013477920858523997,3.354771249949965e-05
55,0.00013323225725438002,3.0238672619402654e-05
56,0.0001328988290143,3.058723864129071e-05
57,0.0001328988290143,3.058723864129071e-05
58,0.0001328988290143,3.058723864129071e-05
59,0.0001328988290143,3.058723864129071e-05
