iter_times,mean,var
1,0.00023449999999999998,3.030437198788175e-20
2,0.00021945306291518002,2.677062853628406e-05
3,0.0002000962638163,3.212552211089494e-05
4,0.00018681422919682,3.445563271324924e-05
5,0.00018680024747208,3.444275619977277e-05
6,0.00018680024747208,3.444275619977277e-05
7,0.00018366730212576,3.809427212962176e-05
8,0.00018366730212576,3.809427212962176e-05
9,0.0001772723599088,3.470043823944835e-05
10,0.0001772723599088,3.470043823944835e-05
11,0.0001772723599088,3.470043823944835e-05
12,0.00017150139769446,2.3345107987564733e-05
13,0.00015542974944544,2.3710836559661375e-05
14,0.00015039533664956,2.317518629864075e-05
15,0.00015039533664956,2.317518629864075e-05
16,0.00015039533664956,2.317518629864075e-05
17,0.00014717474743856002,1.781870511096531e-05
18,0.000139742975953,1.8854913405478233e-05
19,0.00013705380974054002,1.4200567117033262e-05
20,0.00013705380974054002,1.4200567117033262e-05
21,0.00013705380974054002,1.4200567117033262e-05
22,0.00012662444275290003,1.686571028732036e-05
23,0.00012532954859518,1.5581146930750053e-05
24,0.00012532954859518,1.5581146930750053e-05
25,0.00012532595982244,1.5581867450880975e-05
26,0.00012523913397882,1.560054745825632e-05
27,0.00012523913397882,1.560054745825632e-05
28,0.00012523913397882,1.560054745825632e-05
29,0.0001252127226139,1.5606704342205432e-05
30,0.0001252127226139,1.5606704342205432e-05
31,0.0001252127226139,1.5606704342205432e-05
32,0.00011566154040219595,2.5577279384340603e-05
33,0.00010708931431733086,2.3825412933623282e-05
34,0.00010530420100853213,2.450629830250409e-05
35,0.00010530420100853213,2.450629830250409e-05
36,0.00010530420100853213,2.450629830250409e-05
37,9.933669395132514e-05,2.394943515543904e-05
38,9.509162456426515e-05,1.4485457954672562e-05
39,9.482498826360515e-05,1.3892306122736611e-05
40,9.482498826360515e-05,1.3892306122736611e-05
41,9.104220571121377e-05,6.093393271904363e-06
42,8.912054103843586e-05,3.158817784980334e-06
43,8.820901493134916e-05,1.9192400779142346e-06
