gain,i,phase,GBW,FoM
117.7462,0.0002968000000000001,72.0,4494000.0,96.5908954776879
122.37801766750331,0.0002135034921467313,50.059591410933855,5395483.017265474,0.0
115.37376391486686,0.000288429543269237,27.12556283758646,9428778.950807564,0.0
118.63877394805473,0.00027941250291059396,81.15145009425531,2440539.2362900344,102.41494202450231
116.95247269715972,0.0003820142251388143,26.640193273298856,14253330.473239334,0.0
112.22182712261488,0.0003206213680131021,71.99905079051035,5463713.641199594,89.63732535955822
121.52253845552032,0.00019515441251189499,55.43344845207934,4780791.318928174,0.0
121.91431199252176,0.0002514839571011874,70.01874273323122,7040561.953436093,113.45546641609856
114.77920623331497,0.000321880055594731,76.68010801587262,4637441.308766052,89.29853665972986
113.27813602821851,0.00034630051908217727,67.00569086236669,5335423.690316667,83.2129256155868
118.63507571059706,0.0004142531801977681,72.7759179931046,6200674.056943299,70.05507430146082
119.78822885010968,0.0003035808632066062,73.37875659204344,2760360.111399168,94.50042425063278
114.0345271851887,0.00029288522538982654,70.18305241639433,7414347.768909479,97.84185397472989
115.38864622143296,0.0002725808360157432,29.62939109042859,7554089.597606615,0.0
109.78981123012173,0.0004601826664191485,71.21966324617208,4218890.434493539,63.36250342483983
115.0361284912332,0.0003543139240748212,63.29183082918079,5895747.635990223,81.3987754653184
109.30007904096774,0.00039763053204057924,81.98265880805306,2436157.03061967,72.85826172659947
109.18067376992857,0.0003391568199506467,76.408660267005,4590705.7688684175,84.90245969938017
117.07351593957101,0.0002453849947942502,58.79958746542234,4805147.555604136,0.0
121.52082182956228,0.00028567668049683814,83.5649472509514,2423516.249061271,100.23502012648602
112.4964948166897,0.00042846552443523715,84.26593143896366,2794062.6839504526,67.8308351398676
118.34328916854561,0.0002338976546608013,79.64766289505312,2879832.1302592275,121.76039466090906
116.19473795124722,0.00020906283503024513,78.75915830557736,2914969.0678122593,135.86808137734843
112.78813016930792,0.0003537711489715095,83.53181255626782,2329112.4776895745,81.51905916730033
124.43682845988047,0.0002605752445961691,76.10468044238173,6190573.7742138,109.60175267541958
103.73961820634656,0.00040935952434436066,66.64395784564424,5549947.675623036,70.85667885037556
113.45037781106285,0.00043767301364445777,75.49716988575973,4875865.911466049,66.46696486145012
110.641845359251,0.0003768232768477568,72.61404098058529,3765494.9699907824,76.71566324179196
118.84569084658317,0.00024036668594175803,52.87272127812757,6016176.833141208,0.0
121.30925203683105,0.000211690132007428,79.21626654505548,3490622.9613106954,134.21904887282645
119.8736422081256,0.00018360941974248052,80.84983658832543,2752308.086570949,154.28732402039725
115.73911797344431,0.00044800317427814827,46.82301377391138,11411180.442142587,0.0
112.61938840093983,0.00034109683714244753,56.281098729992074,7138779.559399331,0.0
107.49431339236949,0.0004582982110620731,74.24964163016824,7050433.082262774,63.610705229254066
116.337955798985,0.0002709995387268917,82.49895586245792,1706036.316805024,0.0
113.01730221568096,0.00019118770188540838,68.63179485852244,3372665.92650978,148.29060971937864
116.94443285095556,0.0002654439301903312,55.084305460298076,7395517.806919441,0.0
112.39137360529094,0.0002874895774693064,80.32836068732131,3133833.4406341086,99.62186025071969
115.81206368223704,0.00046720967195196115,81.08570142402944,6029357.952584917,62.45462914268159
120.5390976619685,0.0003081161445813449,84.21374461581128,3130082.8848145,93.1535939167389
118.59035892674504,0.0003012267627096867,61.187315327283564,6051377.531701123,95.21550412022708
102.63037258361308,0.0006244411365523341,33.68229330744704,9351059.41795255,0.0
107.977273642108,0.0005002334704852254,67.12169705045832,3603870.3566280394,58.52962649786986
114.0425470165266,0.00035444885793033256,81.00025257304435,4230562.991132766,81.36893011865068
112.570998936195,0.00029478827621669956,76.33663844965636,3417613.8036365467,97.22958787329205
112.61689167518699,0.0002268524371376358,82.74785253801963,2507246.5161888045,125.44866366996294
113.49459599186721,0.0002149341862641238,29.473207987129722,6782177.136489864,0.0
107.11876914793041,0.00035453814142605484,38.208301234597535,6144578.93112537,0.0
115.36354650656669,0.0002831326264885546,79.96707430597932,2879122.5519963186,101.10871365225961
116.35733881697587,0.0003261995346931207,49.74150176562754,4774625.046868575,0.0
117.85192611409127,0.0002036364453251002,68.905781712177,3582540.5468416237,139.4086754383838
117.20899286676527,0.0002837064634810723,64.54048508255505,3502978.5747957123,100.9102747147352
112.26249473516171,0.00032258628394046763,76.95281033842666,3534311.40204205,89.10960589664775
108.81892942959215,0.00045851340372110393,85.72250470244938,3311126.6379061043,63.5822589968906
118.97986917492581,0.00033195773580565487,76.55420764594243,5171564.998959405,86.6786577976912
108.63020446740424,0.0003366129685639303,60.00172001675157,4158824.1137211174,85.52141293392313
120.99796899019309,0.00020592659319034555,82.49069429533951,3286981.3086316204,137.89164923979365
116.9418976140468,0.00036190795563744035,65.1496914879292,8962651.427023884,79.7537086297312
110.91796988016048,0.0004990312596928198,80.49430249218112,3786574.0968535566,58.66340231847694
115.09003662598136,0.00031957205741110756,54.25869357900429,4798740.077291329,0.0
112.66547271727794,0.00038792483480191964,76.03139643811835,6748879.215541809,74.6060826370179
120.07411553420147,0.00028663420123562644,85.22327077878877,2533049.7448004405,99.91020003207214
113.4003684223103,0.0004276699927360926,81.96816676878656,3048479.314732715,67.95143042434344
110.66803384826554,0.0003544264455233535,43.662083415659936,6396226.047516603,0.0
109.47005891206678,0.0004945362156858627,75.16380568587981,3448973.7720365725,59.16934998229264
113.06184370944065,0.00033819105960613334,70.75818218550572,5028472.636094812,85.1363456802452
118.33047070674857,0.00021280097094602716,84.69691724820441,2266332.592318085,133.53407441840608
111.03815176588257,0.0005410502916921802,81.32083837615556,4442898.356287924,54.340472788399104
106.84780609871734,0.00043393986539356545,74.6034705175661,3807106.1022850983,67.01296583475798
116.28608720077989,0.00035888088601173745,51.896598934161766,7301215.748018344,0.0
111.68849407089925,0.0003369712607806288,41.152876275619775,9581744.504414124,0.0
