ppm,i,psrr,FoM
39.29999999999999,3.979999999999997e-05,69.64,256.45292620865143
592.583585076106,4.417170071446785e-05,59.54400141956927,0.0
429.02314488555544,3.789883114704241e-05,67.60423311774593,0.0
576.8113774494731,4.189281027847805e-05,76.61563208758818,0.0
379.54282344174527,6.605140100866976e-05,40.73166754544619,0.0
350.98683089175387,5.601399472332755e-05,35.85428224217257,0.0
22.003913721412946,4.528324552234647e-05,42.778826235877574,0.0
420.6124244500236,3.989570875226991e-05,72.24338317046394,0.0
469.6049165629866,4.336109871465999e-05,77.63238319156825,0.0
915.6039409633335,2.820663206755751e-05,86.15252971256967,0.0
221.11710595333736,4.398613136067689e-05,55.9112489455521,0.0
1331.857170977935,4.646891207700563e-05,59.48642485793989,0.0
155.9614965829537,4.249992595686732e-05,58.749311527814996,0.0
1227.1661422912607,3.6512349534708054e-05,49.77826957216828,0.0
629.9072621008326,2.182592277596489e-05,49.764776555477,0.0
321.2091703804253,3.386068448018206e-05,73.59226930366704,0.0
942.1379888634825,4.582090154344333e-05,59.753802260587115,0.0
379.25335989775675,4.484361979016707e-05,74.48037475295968,0.0
60.39962399393183,5.163258530124468e-05,56.05673570110455,0.0
432.02198779457785,4.8901928653976246e-05,28.06463338720706,0.0
25.953891433877594,3.440760828915791e-05,107.89825064704799,387.2986757487552
65.52995701048332,3.729177465868559e-05,60.03879065549185,154.60196185387738
17.507235526559764,2.139463134338457e-05,75.8382366050316,573.1924069810601
1520.683998228721,3.8208610798137394e-05,83.03376826520963,0.0
1520.680852725704,3.820558580810112e-05,82.82715154268651,0.0
1520.680852725704,3.820558580810112e-05,82.82715154268651,0.0
1520.680852725704,3.820558580810112e-05,82.82715154268651,0.0
1520.680852725704,3.820558580810112e-05,82.82715154268651,0.0
795.1715038181052,2.8444301436459893e-05,81.05160823072191,0.0
1520.680852725704,3.820558580810112e-05,82.82715154268651,0.0
1350.799970019965,4.07574257855743e-05,64.87491393882063,0.0
713.0047140915754,3.089979105241412e-05,70.81361415176244,0.0
18.69843188085075,5.0760829220168233e-05,84.87915275259239,0.0
1189.5378341711187,4.1607473996422126e-05,62.359130089182095,0.0
503.85030319022616,4.6061155258772566e-05,79.9122469036337,0.0
419.3310775312512,3.2454205296502445e-05,71.1389320607857,0.0
217.54030498124123,3.167763566677402e-05,65.91083470166593,0.0
1139.9341654738976,2.3804364776664852e-05,81.10054768498655,0.0
1520.3822695226227,3.728373013541233e-05,78.42647444120013,0.0
1520.3822695226227,3.728373013541233e-05,78.42647444120013,0.0
1520.3822695226227,3.728373013541233e-05,78.42647444120013,0.0
1159.2825806394223,2.899446547418265e-05,68.97871567267609,0.0
481.0256173830296,3.427241273209325e-05,85.24079738152957,0.0
443.20566350074023,5.9437335692696494e-05,39.752936554988366,0.0
309.16591502994123,4.69635257291655e-05,66.64583675957448,0.0
1085.922959405684,4.786095930793471e-05,78.33409253594326,0.0
491.4448622384566,3.7492589878631726e-05,66.74711970492122,0.0
67.60132992477014,4.2082330347848483e-05,84.57919842154564,149.92608386740997
483.5277601221488,3.503233488715117e-05,73.54019067092332,0.0
27.302309964795512,4.3736422942807224e-05,93.5821482355258,368.2693747486687
660.0980686669993,2.9766152175134313e-05,63.105056978837595,0.0
383.19255771588234,3.258559094424845e-05,72.3878213257905,0.0
200.37073875452418,3.7888603547738677e-05,83.95074457376168,0.0
424.43779214515536,1.9197254012564064e-05,86.85585857090524,0.0
606.9428632893715,3.7270444881349344e-05,0.4178409481456314,0.0
1520.299367455833,2.7577601992423833e-05,83.82614566892597,0.0
1520.299367455833,2.7577601992423833e-05,83.82614566892597,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
1520.2955827251985,2.7578333584988655e-05,84.28848162140837,0.0
313.05177649813976,4.215751363840335e-05,75.59884043577844,0.0
1173.860421925552,3.985945790791059e-05,85.20097384265398,0.0
202.02635439764472,4.7719551311661696e-05,39.036868581683045,0.0
1520.5452129723103,2.7578309998520366e-05,83.65720038355845,0.0
