c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
5.051337444882404e-12,3.783207882795363e-12,9.791375316822429e-07,1.0554410087949762e-06,1.512314244147249e-06,9.060804128555795e-07,5.116058444153877e-07,1.2051039357213884e-06,1.1560278241145093e-06,6.205482270175475e-07,4.477297307282947e-06,2.1360018067003865e-06,3.589512594927969e-05,3.743165616050928e-05,4.919112484464238e-06,8.317932852303094e-06,7.362702711580479e-05,8.823265243201123e-05
4.221636417489927e-12,6.4233211865648655e-12,9.744147477281e-07,5.702302720979473e-07,8.582929524286867e-07,1.7749932713417744e-06,7.766665886785319e-07,5.193858089809977e-07,7.968611068308446e-07,7.070889975480469e-07,1.0793784302109394e-05,1.133596641120036e-06,3.798607462942515e-05,2.7199336317806153e-05,3.0935322428787988e-06,9.505859444946568e-06,2.7576574678511634e-05,0.00012636377385404952
5.561469478569111e-12,7.884633811064874e-12,6.039166234681927e-07,1.0729199511993818e-06,1.683736416600903e-06,1.9537220428754087e-06,8.015455400941613e-07,1.1128303894520983e-06,5.59335972698002e-07,1.2450554657868727e-06,7.362787720711741e-06,1.969604837095635e-06,6.496758021045598e-05,2.5900150553511904e-05,4.8799998077394976e-06,1.3917603314088538e-05,2.6886829013994747e-05,0.00013450955606497707
4.581163853996708e-12,3.98722424859449e-12,5.312508851489557e-07,4.984828628264111e-07,9.799918516625804e-07,2.40572601857593e-06,6.803176315033443e-07,7.495591690398231e-07,1.3644364849323103e-06,9.556879955622397e-07,1.1038213314609612e-05,2.3941896582394175e-06,6.822933999096863e-05,4.4189805213171e-05,3.2558223438498075e-06,1.1612622626560335e-05,3.469990865204069e-05,0.00012135697043971464
4.854863701017698e-12,6.180765610457191e-12,7.48290593270676e-07,6.178576034780843e-07,1.3776016004207088e-06,2.150857658921597e-06,5.669779630814675e-07,6.294357072540263e-07,6.551408974207528e-07,6.135096345879217e-07,4.134765958099764e-06,2.5222229212232387e-06,6.960880936939547e-05,4.3358869853778546e-05,2.5918943733886335e-06,1.356456694270421e-05,4.121442836309296e-05,5.565571746304128e-05
5.154097931530178e-12,5.799234402452486e-12,6.431679689266016e-07,1.2709160383400339e-06,7.464224658364904e-07,2.0913574679233146e-06,1.2792339535260263e-06,8.662611349030275e-07,7.695480900164604e-07,7.153236649718454e-07,4.647030517437687e-06,2.0588700015593655e-06,8.411716483830001e-05,4.1507005207145134e-05,5.897936976424915e-06,1.0208816352596016e-05,7.601163773943506e-05,0.00013771955067361778
3.2452167934477706e-12,6.02577523603041e-12,9.452131399924117e-07,8.956691809394616e-07,1.1528991538270246e-06,2.0441394673500768e-06,6.302019813828072e-07,1.220493167434702e-06,9.477464219119592e-07,1.0165665220022985e-06,8.620061591199857e-06,2.4085365372306706e-06,5.8047723138557087e-05,3.8024514836956054e-05,2.4490823017135427e-06,9.609972957592244e-06,6.231339652806217e-05,0.0001320426161919128
5.939361886148275e-12,7.584606024414232e-12,5.30915686092681e-07,5.782760470800411e-07,1.8959752962751837e-06,9.077255363394544e-07,7.458148513067528e-07,1.2664814136756707e-06,7.522774400445404e-07,5.078947479409616e-07,4.144598519347175e-06,1.3761099450750444e-06,9.403987204465118e-05,3.6265436113221876e-05,4.403467275495022e-06,9.767107362413273e-06,6.470820529931997e-05,0.0001316215724883993
4.757192554722553e-12,5.980633999794427e-12,7.952795388681819e-07,7.54417181164579e-07,1.8719640579606484e-06,1.796700548651305e-06,7.609490239374321e-07,1.2971116463600093e-06,1.3345106676047256e-06,9.528850315577759e-07,9.024048315399794e-06,1.0509806896740482e-06,8.704700510356657e-05,2.659151148116524e-05,2.0755386257275934e-06,1.2339172085912533e-05,5.366512592392311e-05,0.0001261854626081927
6.19320444842983e-12,3.9767764055370685e-12,1.0356473445385396e-06,5.918319656820393e-07,1.4559705863505917e-06,8.590408483982933e-07,7.549856938932149e-07,5.264023980589392e-07,1.0022148825465017e-06,1.1446625276420194e-06,1.0068056614496508e-05,2.1690501147146245e-06,7.9384448185098e-05,2.3382891492364387e-05,4.539957701617707e-06,1.1450648736746172e-05,7.519949488013315e-05,0.00013663204723310553
5.956917446567352e-12,4.762166935685238e-12,8.590591170033321e-07,1.024216915031327e-06,1.207144100577349e-06,1.7562043835203714e-06,1.351908461804427e-06,7.560636043076852e-07,9.846893932379278e-07,1.1802512803767999e-06,7.0318627045059105e-06,1.4271074874587912e-06,6.357215506238589e-05,3.464144418668629e-05,3.6811682942610598e-06,1.1011199996868764e-05,5.493306788389634e-05,7.741140785970557e-05
5.25790342891274e-12,5.242130933410474e-12,9.846418164944607e-07,1.0157755062881178e-06,7.263991060170937e-07,1.0755743739138084e-06,9.728509549267966e-07,8.246677687277286e-07,1.063601191091551e-06,5.587540859552359e-07,1.0043856312023551e-05,9.934609828418197e-07,8.138764014742912e-05,1.655112141676051e-05,4.2635907759715055e-06,6.86453097791462e-06,2.7372777116899593e-05,4.919191545891729e-05
3.0154481331900794e-12,2.742487553517862e-12,6.208692963519001e-07,4.929655963970064e-07,2.07166884918388e-06,1.3777069336656927e-06,9.285952179816536e-07,5.503398467995927e-07,9.454963036149038e-07,1.3362051450448776e-06,5.117386952834576e-06,1.094455220234088e-06,3.935182597790283e-05,3.892147433238743e-05,2.0735954272871395e-06,7.071724482719497e-06,2.9115804117301514e-05,6.412701303997008e-05
2.8989811161585747e-12,4.412808293732155e-12,9.23475052746811e-07,6.489154966872429e-07,1.5437864650046812e-06,1.9209991517974742e-06,9.096079037558371e-07,1.2835031734118724e-06,9.322941960817752e-07,6.61492309263324e-07,4.6628317653149866e-06,1.859439085378986e-06,3.987052314159861e-05,3.831608728875286e-05,2.3066835388916657e-06,5.236409778247163e-06,2.8848994208036857e-05,9.94645379646609e-05
3.031730443373871e-12,3.7454926715975104e-12,7.893743721888924e-07,8.219280487018953e-07,7.268290782868706e-07,1.1338107791600535e-06,1.4719467489092518e-06,7.062370161174095e-07,6.116689583456506e-07,6.487899176219421e-07,7.452874263528111e-06,9.04031551423182e-07,0.00010325795027273655,3.127183199940308e-05,2.022647467179436e-06,6.416433546396533e-06,2.5903021138067922e-05,4.872752206908787e-05
4.088320983756325e-12,3.5321177716750333e-12,7.591211707518093e-07,1.0319046928420845e-06,1.3838530199549798e-06,2.152675150326978e-06,9.939142723790009e-07,8.45026872094873e-07,1.2472223057146745e-06,1.251896830382547e-06,3.939792692643555e-06,1.6749692136936087e-06,7.426604476095433e-05,2.9508321295253348e-05,2.6280397661609813e-06,5.1875479618121146e-06,3.902966977622724e-05,0.00012389854259348162
3.8223831471356096e-12,4.766587276378482e-12,7.689825262608805e-07,9.836348639375407e-07,1.271199397144093e-06,1.0643442216108625e-06,7.176558355844516e-07,1.1484715403337483e-06,6.445322170303153e-07,8.484336856054461e-07,8.905356018173011e-06,1.830154692781603e-06,5.744961999303895e-05,3.279394361483358e-05,2.419110458806754e-06,7.39550953916e-06,4.802626020876042e-05,9.954799368271837e-05
2.620487655407976e-12,2.8282008801196192e-12,9.279552612825809e-07,8.910847758481781e-07,1.1032691315878072e-06,2.364098660888597e-06,8.77516794733717e-07,1.1659854103435868e-06,1.3834403255379604e-06,5.289163735377353e-07,7.06724177098856e-06,1.5298420426574812e-06,4.4777408725757444e-05,2.6066479879064363e-05,2.9512869443708087e-06,6.529527887304091e-06,6.017394760387515e-05,8.329477897046657e-05
5.531172037426071e-12,6.199907934576941e-12,7.159179934641179e-07,6.57501023142248e-07,9.642134980976359e-07,8.400804892326496e-07,7.071414048031542e-07,7.490530113840085e-07,8.711800195301109e-07,9.302457584955225e-07,4.718724653532961e-06,1.976862050983064e-06,8.019522255151288e-05,1.9502307624346478e-05,4.26996973048935e-06,7.3151064757653726e-06,4.7170991332772636e-05,0.00010877045526903043
