c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
4.500000000000007e-12,5.2768000000000076e-12,7.704399999999999e-07,8.919999999999993e-07,1.391000000000001e-06,1.6725100000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,7.649999999999993e-06,1.7715120000000013e-06,7.119999999999996e-05,3.179000000000001e-05,3.972000000000001e-06,1.0238999999999993e-05,5.119500000000002e-05,9.499999999999995e-05
5.720942894700361e-12,5.501298121121828e-12,8.071022779664221e-07,9.788555102219491e-07,1.5378583920717142e-06,1.8031939603427265e-06,7.187693491795371e-07,1.073028904033185e-06,7.959037622208377e-07,9.840208902868257e-07,1.0046868040081654e-05,1.3418768022662298e-06,5.6974995545493774e-05,2.4268586613975337e-05,4.144643132822364e-06,1.2202580206975441e-05,6.659710840187217e-05,9.659498139294195e-05
2.6437187363575748e-12,3.2551494267461863e-12,9.792841379393827e-07,1.0996533797664977e-06,8.166955444931238e-07,1.4341157734874887e-06,1.273211621752262e-06,6.314716016117563e-07,1.0378324338539742e-06,1.2547235662269497e-06,5.909825246332188e-06,1.8893476564537817e-06,6.953996991502632e-05,3.358997181590506e-05,3.736607592047615e-06,1.2222676872677703e-05,6.236765244646436e-05,0.00011935632400008186
5.101417057168246e-12,4.6084445226395984e-12,5.384971424701442e-07,9.228256903312189e-07,1.5270907773164965e-06,9.501483709649564e-07,6.068795843935686e-07,1.0615573602763693e-06,5.306848403729465e-07,6.748138948221192e-07,6.834656210139346e-06,1.6968419046568113e-06,9.208105419156615e-05,3.047784324594579e-05,5.55295255475027e-06,1.3341494168444307e-05,3.293131229579079e-05,9.548061616786379e-05
5.619617471423758e-12,6.19566825998209e-12,1.0453717470255362e-06,9.724596157829978e-07,1.0602419846345427e-06,1.6131874213190124e-06,1.2446032407755612e-06,1.3773352415649347e-06,9.531050002012333e-07,5.146348751032498e-07,1.0438265832584951e-05,1.1164277476045767e-06,6.495405670756215e-05,4.688428935582011e-05,5.722488356855365e-06,1.0390166034782889e-05,6.142857253797509e-05,0.00013391794477572255
2.4179490405510247e-12,6.220478622324877e-12,7.528899938515092e-07,5.353528778024716e-07,1.5498469610971356e-06,2.2376753953910522e-06,1.2338940376588347e-06,8.215655827119073e-07,5.678553110869002e-07,5.37330237064272e-07,8.10230857529768e-06,1.1707084869866246e-06,5.467363882198893e-05,2.338828309510033e-05,2.062848117546009e-06,6.672617299380186e-06,2.7333139159821477e-05,0.00014077431151834845
3.872183895693265e-12,6.994211224316052e-12,7.028241890181877e-07,6.718357985084665e-07,1.0247648291839026e-06,2.1292985709462978e-06,1.1712569051256313e-06,1.2063308852006682e-06,1.353155413190402e-06,1.0220495668360083e-06,7.212187847909101e-06,1.8667280086654208e-06,8.202203320651497e-05,4.096312766956788e-05,5.530094262123351e-06,8.284427719714837e-06,3.254004229121259e-05,0.00011883803192519775
4.620749496916845e-12,6.779308542956877e-12,7.164522666848172e-07,1.1942511561512644e-06,1.4429594493642697e-06,1.2550915324329978e-06,5.588940114407739e-07,5.919492849076475e-07,6.741999431414469e-07,9.392543505982752e-07,1.0028646821824556e-05,2.498544286794103e-06,7.661765869525348e-05,2.5150799322717287e-05,4.5748954687149925e-06,1.165117005503627e-05,5.137800879982879e-05,0.00013922750798407067
5.672388204895313e-12,5.34612787831101e-12,1.06624002131312e-06,7.184702471617932e-07,1.032227542686306e-06,8.982957770786795e-07,6.840348220931514e-07,9.284507389678966e-07,6.680727975326185e-07,9.168984070493774e-07,9.458327684365007e-06,2.4036424739875764e-06,3.987557463521835e-05,4.617955074993809e-05,2.219642446100536e-06,1.0055434897992355e-05,7.654977348887294e-05,5.9809793828609735e-05
3.0109987645314115e-12,6.070415849615967e-12,6.360071862514782e-07,7.41001626288062e-07,1.471091260429738e-06,1.4227313209849537e-06,1.1450721264682415e-06,1.1938900663424127e-06,1.338261320703693e-06,6.167295109469632e-07,7.708146946620438e-06,1.3716725634236014e-06,0.00010601088856276946,4.319145220174127e-05,3.5961665336422454e-06,1.0534434870788813e-05,3.3098370202623663e-05,0.00011046806638299896
2.647529163783043e-12,5.809962349325094e-12,5.123548482387404e-07,1.1362566242198504e-06,1.4821202646644414e-06,1.7781970517209612e-06,5.486280062634056e-07,6.04619744522853e-07,1.0990517974614933e-06,8.386791329893401e-07,8.754098605066833e-06,2.1419457246251006e-06,5.1889302123979904e-05,4.2214041957047075e-05,2.5030572473859855e-06,1.2249000395052324e-05,4.861040903916422e-05,0.00013638865018958667
5.334119182655088e-12,6.887401765047043e-12,6.876402307062081e-07,4.816436141514597e-07,1.3564089561543346e-06,1.3375562089288056e-06,7.486125078027695e-07,9.396052377745904e-07,1.2827148182449719e-06,5.946590407436529e-07,5.455877225146657e-06,1.5160109745802347e-06,7.936676196418809e-05,4.653739762102901e-05,2.3314424922485807e-06,7.216054166055176e-06,5.638824005867874e-05,0.00010570927228326022
