c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
4.500000000000007e-12,5.2768000000000076e-12,7.704399999999999e-07,8.919999999999993e-07,1.391000000000001e-06,1.6725100000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,7.649999999999993e-06,1.7715120000000013e-06,7.119999999999996e-05,3.179000000000001e-05,3.972000000000001e-06,1.0238999999999993e-05,5.119500000000002e-05,9.499999999999995e-05
4.211977059639022e-12,5.3044825683542136e-12,1.1283487341439651e-06,1.1598304492102674e-06,1.5060146799438857e-06,2.1374814273612625e-06,1.0479077800903765e-06,1.1433114272482348e-06,1.3762664517041588e-06,8.318737125398752e-07,7.659305855406212e-06,2.361711142981174e-06,6.271243196059401e-05,3.6298195965760556e-05,4.743173910428827e-06,5.417959865440676e-06,2.782395508584772e-05,7.823520890790424e-05
5.459363822709259e-12,6.92939727993805e-12,6.3683669078981e-07,6.424985788541766e-07,1.150905309452339e-06,2.449168177389725e-06,5.960907001770305e-07,6.621834476439395e-07,1.1942391189527598e-06,6.397634990477651e-07,5.86468807861793e-06,2.308591696169953e-06,5.70035590107157e-05,3.4874156088617195e-05,4.261210407004e-06,7.837375705493985e-06,3.833145191985821e-05,7.501917161289162e-05
3.680543205879042e-12,5.656776104264188e-12,6.721476616816714e-07,1.2573006797123838e-06,1.233776974006948e-06,2.2348901418273467e-06,1.1017637200942215e-06,1.4120187774423e-06,9.840535743546757e-07,1.458514066595683e-06,8.236828902465076e-06,9.349053568139307e-07,8.820760446429816e-05,4.3278931323352274e-05,2.3774406373505054e-06,1.498419329520757e-05,5.44420959182233e-05,0.00011786668153908325
2.545698042265414e-12,4.312640820808751e-12,8.363553408036818e-07,9.13525159780036e-07,1.3007555626745337e-06,2.3627166643515425e-06,1.06997665199255e-06,1.4341367486942818e-06,1.0761543540560695e-06,6.851801941495327e-07,1.1337902122983169e-05,2.654616507857397e-06,6.738852931334885e-05,4.0132667448443494e-05,4.514429897029157e-06,7.016213059135217e-06,5.5249744345693364e-05,0.00010965298378995292
4.1416551093937025e-12,3.3093977386732975e-12,8.22170521689493e-07,7.073767227829406e-07,1.3869296540397068e-06,2.1718974923372543e-06,6.105831477961609e-07,1.2417550388834489e-06,1.1152545734642755e-06,9.144600551329112e-07,7.021447266620775e-06,9.621596054484182e-07,5.4075004793584515e-05,2.1477294464191442e-05,5.371188344445474e-06,1.4768944650334337e-05,4.390064590542609e-05,0.00011297892810386674
3.736506694517439e-12,5.787305646418261e-12,7.146185119618552e-07,9.134676527679243e-07,1.27263401978819e-06,1.7450053316038845e-06,7.740592525360531e-07,1.1530205132311004e-06,1.4536599623823233e-06,1.348684514267324e-06,8.134827244093617e-06,1.075639772845095e-06,8.489882630674365e-05,3.857149246098412e-05,4.5318082772016496e-06,8.920945526707593e-06,2.6081311903989774e-05,0.00010872998799057349
3.1709188531702962e-12,3.831020124788432e-12,7.21707561326367e-07,7.641088587615007e-07,1.1835628147105823e-06,1.205608621319445e-06,5.102500393995908e-07,1.2988855115046303e-06,9.480147165240891e-07,9.44570941750709e-07,1.0530698293438444e-05,1.6565119067287098e-06,0.000105410537624713,4.403753220950945e-05,2.277935584085742e-06,1.25837392098501e-05,3.857790354057996e-05,7.70952933175835e-05
5.036719348577986e-12,3.202730986966915e-12,9.835122584891655e-07,4.867456369988966e-07,1.4619102663062663e-06,2.372386271007575e-06,1.1293597228295815e-06,5.312475622652614e-07,7.070498382533144e-07,1.2157470842863537e-06,9.008524027743513e-06,1.2770497351009694e-06,5.3133255534506614e-05,4.714896849755926e-05,4.4620840851830716e-06,6.411253352252551e-06,3.861263540225671e-05,0.00013112840083496217
3.598446031535353e-12,3.800911793469927e-12,7.978708794295346e-07,1.3229728732586327e-06,2.048818769615883e-06,1.8265223769927921e-06,7.951723052197424e-07,7.29574028744345e-07,9.25367291905386e-07,5.084483635788201e-07,1.026884780269156e-05,2.4457885576772954e-06,9.186535874469609e-05,3.6650911962791596e-05,3.3889655781720815e-06,7.692385835360117e-06,3.433574550531197e-05,8.420569388398331e-05
