c1,c2,L1,L2,L3,L4,L5,L6,L7,L8,W1,W2,W3,W4,W5,W6,W7,W8
4.500000000000007e-12,5.2768000000000076e-12,7.704399999999999e-07,8.919999999999993e-07,1.391000000000001e-06,1.6725100000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,1.0000000000000004e-06,7.649999999999993e-06,1.7715120000000013e-06,7.119999999999996e-05,3.179000000000001e-05,3.972000000000001e-06,1.0238999999999993e-05,5.119500000000002e-05,9.499999999999995e-05
3.663003970564773e-12,7.230199475592308e-12,1.1477955379225185e-06,9.540015838920602e-07,1.0053743266745605e-06,1.3142627484060092e-06,1.3181227868615793e-06,1.061025224380727e-06,1.0423924941301225e-06,6.495605014291587e-07,9.487873147718203e-06,1.1630250956939478e-06,4.889644273012217e-05,3.452757355230596e-05,4.445253311797767e-06,7.06270719645495e-06,7.347255455692338e-05,0.00011477133273903546
4.508435664669327e-12,6.302814014827485e-12,7.675752865625887e-07,1.0683808555304092e-06,1.4691971331438765e-06,1.0049420021090428e-06,1.336207000744745e-06,1.3287812022495743e-06,1.3532576304162073e-06,5.538777436763632e-07,4.145280635577992e-06,1.639802033624006e-06,3.908164677376755e-05,2.53168898594777e-05,4.377510984714254e-06,1.3564851642294419e-05,6.612095395931421e-05,0.00011637741592845452
4.48097981910366e-12,6.9910764670765e-12,7.534702989904839e-07,1.1606315370725512e-06,1.1164592225490683e-06,2.370268972980385e-06,1.3042356353788297e-06,7.447195476763493e-07,1.3985071059711373e-06,1.243413132877156e-06,5.959246518681063e-06,1.3319234480731098e-06,8.183319358420298e-05,2.4507741994847855e-05,2.4360579504575947e-06,5.408567995211744e-06,7.268181367958326e-05,0.00013396593678325963
4.071688092096162e-12,5.908187010905224e-12,7.663929288645623e-07,9.23724792415574e-07,2.004343217508287e-06,1.4836164689625794e-06,1.0213496175468413e-06,6.932146365616649e-07,5.33661573799264e-07,1.0207313770594933e-06,4.589567099116759e-06,2.085607629175296e-06,5.215965504513621e-05,3.2046447966388584e-05,5.2250362996364246e-06,1.2229898358127521e-05,4.7473293642561876e-05,0.00011227261433332404
4.903100116019872e-12,7.027159380779955e-12,6.998159359266023e-07,4.972110358839544e-07,1.0070507551575628e-06,1.785526394145606e-06,1.1145248979588492e-06,1.4482910681305256e-06,1.3976468547487387e-06,7.912104549420732e-07,4.698448967228045e-06,2.3396496334620425e-06,7.288613984068311e-05,4.6585758650694236e-05,2.263110900789663e-06,8.724411779060207e-06,6.364082739090772e-05,0.00010096164828032009
5.92346249872574e-12,6.574562214808007e-12,6.600226203718117e-07,7.865592176370355e-07,1.0120155730584517e-06,2.1881074315716446e-06,9.351055069059743e-07,1.3465761831758543e-06,1.4481517035768728e-06,8.41693521286083e-07,6.636722858466499e-06,1.732796155635211e-06,8.891419053888196e-05,1.643045195751918e-05,3.6912630120142215e-06,1.3338098777106269e-05,3.317896233993967e-05,0.00011936129954343983
4.133286812297037e-12,7.827390081030152e-12,9.150316283593655e-07,7.806095041462298e-07,1.5508710732288448e-06,2.2439082371340272e-06,1.1789275690306018e-06,6.78617935158853e-07,1.2347218410133324e-06,9.416531841609274e-07,6.036598409081605e-06,1.6850687795612435e-06,0.00010119705803691996,3.87516003522898e-05,3.35673391802271e-06,1.3568617917113084e-05,5.708533276219353e-05,0.0001025661383210937
3.3664552578610123e-12,3.5335366040180278e-12,9.272470166635409e-07,6.240729291542168e-07,1.3797731545450815e-06,1.7495704575944941e-06,1.4189288882574187e-06,1.385831604433055e-06,8.56309477324958e-07,6.360797021056994e-07,6.734474629196198e-06,1.1028062990611254e-06,4.495473282928164e-05,3.7298850189163985e-05,2.7673740113885974e-06,8.344406983441216e-06,6.866903212914544e-05,0.00013663483424592249
2.6282684302440767e-12,5.388059805431066e-12,1.0980311475327525e-06,7.517822644119777e-07,9.502654525116298e-07,1.2728078454800715e-06,1.0601856223020566e-06,5.802334934847864e-07,1.0644536326774816e-06,1.3076955975507976e-06,4.661706454055611e-06,2.3318162699582982e-06,7.468915516461713e-05,3.339646933785477e-05,3.4742971469723328e-06,9.212513664261034e-06,4.630935735410611e-05,0.00010276009783315285
3.819131794308409e-12,2.8657244198226093e-12,9.433968242743829e-07,1.2110132371769898e-06,2.054600196359844e-06,1.090469638090855e-06,1.0915118304152085e-06,7.723393437778715e-07,1.383790021374162e-06,5.914122379978677e-07,5.21072580235383e-06,1.0244925911911457e-06,5.6708951518444006e-05,4.619090729073913e-05,3.4443532310443492e-06,1.086363758251099e-05,4.5883257918856514e-05,0.00014065682605804712
3.000493559395447e-12,6.065895116005208e-12,8.837846007836953e-07,8.903405324427193e-07,1.4460495551684836e-06,1.3611766233621436e-06,8.083843510756839e-07,1.1834703518935436e-06,1.140441305599634e-06,1.1945884920570353e-06,1.0966163632745544e-05,1.089081391399268e-06,9.299810797094676e-05,2.1427506688929857e-05,4.809404578554155e-06,7.715748867327112e-06,3.0397777903491274e-05,0.00010924798067111715
6.203515884896976e-12,7.180837892477369e-12,8.768023119856615e-07,8.155969217212623e-07,1.0979153006336064e-06,2.16025269365738e-06,8.388899661153526e-07,9.620104412980048e-07,1.1812063808078306e-06,1.1675444589256168e-06,5.2257699977683964e-06,2.1629837495455253e-06,5.9642574196347854e-05,3.066202943364573e-05,4.329366138550494e-06,1.2853419338165819e-05,3.679096194014834e-05,0.0001373229359493956
6.529338142320216e-12,7.761360236597712e-12,7.409303470739235e-07,6.371163188933639e-07,8.388481861179571e-07,1.6609541574361312e-06,1.2308818114469678e-06,1.1640493094413974e-06,8.95637475110481e-07,1.2066177648597788e-06,6.2056690363722605e-06,2.5214204561218662e-06,4.421729332665238e-05,3.159795377839463e-05,4.524469423891336e-06,9.277143994960484e-06,5.269718883144542e-05,0.00012888732459116544
5.469024140955679e-12,7.07990224042602e-12,4.834263865845221e-07,1.2816441404998839e-06,1.0773591101398076e-06,1.986269787436663e-06,7.973494839770585e-07,1.149207078867563e-06,5.358479227735502e-07,8.902333657124421e-07,1.1101351830899574e-05,1.1385540735972897e-06,6.187928356127842e-05,4.5519914902797134e-05,2.0193917122097305e-06,1.370551896962703e-05,6.849782568185425e-05,0.00012173042477035377
5.395983261294422e-12,3.9212727954938e-12,4.1493658204120733e-07,6.532179575038772e-07,1.574739533462846e-06,1.7064819302909344e-06,1.225348921866251e-06,1.3615747749365014e-06,9.164577521595814e-07,1.2145951590411778e-06,4.430122972648674e-06,2.2624206607772054e-06,5.33915746510145e-05,2.283279677267914e-05,3.4698395184964246e-06,1.3008812526455706e-05,6.210344884361372e-05,0.0001256064188355428
4.827419170062346e-12,7.2471615688760246e-12,5.15833782762317e-07,1.09634437359876e-06,7.483151807453853e-07,2.3465676486851366e-06,1.3939427440668872e-06,6.784795558927365e-07,1.2384628341563914e-06,6.429625240752499e-07,4.075338556403722e-06,2.522430612345964e-06,8.866059704384563e-05,4.556806638088203e-05,3.2791017123010816e-06,9.72562244582093e-06,4.0259365391233805e-05,7.231560375668836e-05
6.2910320320131745e-12,7.42064393486997e-12,9.973714740437461e-07,8.169994509771942e-07,1.3911501173344869e-06,1.2540556256529814e-06,1.2166490873934733e-06,1.0797107815939455e-06,1.084307635756901e-06,1.1663579478569597e-06,6.323303483845054e-06,8.945274818625586e-07,8.799750734550428e-05,3.6833301896952435e-05,4.214856382855156e-06,1.2390070206957732e-05,3.153979739384098e-05,0.00014117338930892123
5.251045378138367e-12,6.639681280728554e-12,5.104982025117487e-07,9.668371747883087e-07,8.117089110318591e-07,1.7084477294481732e-06,1.1821527701714035e-06,9.636343824686364e-07,1.3834332260849701e-06,1.4103573932050845e-06,6.782583286522882e-06,1.3686414970417092e-06,3.632658579461575e-05,4.700668056486918e-05,4.9636634165029104e-06,7.3946102990292596e-06,3.5183846455456805e-05,8.548036537622204e-05
4.715270023709168e-12,4.468932229682666e-12,4.921098438581582e-07,8.86948251778375e-07,1.7962236645294283e-06,1.6821197129266158e-06,1.3431168420521126e-06,1.1732218267193468e-06,1.078749611320587e-06,5.32424958862527e-07,8.0246001900117e-06,9.504500641479225e-07,3.5813028232167856e-05,2.7635493390770906e-05,5.637025967666971e-06,1.3554766145489479e-05,4.780174976027469e-05,0.00010017277024373333
5.410923408306252e-12,5.0843799787510696e-12,6.571213374485869e-07,8.296017582763776e-07,1.7499281106675762e-06,2.196125182232828e-06,1.145118998495172e-06,9.761244544112492e-07,6.779704602919228e-07,6.848143748305156e-07,8.054923469190644e-06,1.238626584065631e-06,0.00010096205694143269,4.0131390167542595e-05,5.273501925777959e-06,1.2458550192370294e-05,3.509634176964308e-05,0.00010903918323959618
6.1684378626227425e-12,3.0178135187763836e-12,4.2273147709944266e-07,7.127518807869437e-07,1.8594999368307218e-06,1.3920159843752353e-06,7.709220711937102e-07,6.551040533950825e-07,8.654224998946362e-07,1.1931113880404647e-06,5.277166064174092e-06,1.8247603769446881e-06,7.363184043091167e-05,1.8244664035886563e-05,2.6710984098625093e-06,6.982705598235662e-06,2.757149278186946e-05,6.631781361628015e-05
5.954889061275105e-12,6.897438314850229e-12,9.184211928148743e-07,7.667436786699176e-07,2.011253636700998e-06,1.7275961108242476e-06,6.467630417444413e-07,1.08296167868428e-06,5.342272464103069e-07,8.470857671035969e-07,5.085814885743283e-06,1.1576947650253222e-06,6.181311629505673e-05,3.027968302917904e-05,4.298709311793711e-06,5.90609511680377e-06,6.18907668509067e-05,0.00010285553186570204
3.5518184452453166e-12,6.5686690921504676e-12,6.154808926410431e-07,9.63068976018693e-07,1.287698480351337e-06,1.7290929790423656e-06,9.272252835785463e-07,6.971543951900548e-07,7.446742871876666e-07,7.169641853356755e-07,6.806797864090805e-06,1.7092356338227363e-06,4.438624924926815e-05,3.339255309615448e-05,2.386109926174262e-06,8.064794328310675e-06,2.706018680092797e-05,0.00010111578651086796
5.952827804073083e-12,4.656931942767878e-12,4.387960386024948e-07,5.319118081122526e-07,1.9631359619776304e-06,1.6558164984514895e-06,8.064775244906124e-07,9.081010110892393e-07,9.202908788160284e-07,8.264940835125946e-07,4.8420085181585275e-06,1.3966138659934812e-06,5.708277875996458e-05,4.180649463199277e-05,4.960010562760531e-06,7.361113688629116e-06,4.7429960106426175e-05,0.00011626612469891642
3.660385622599623e-12,3.172120571140132e-12,4.96207872807133e-07,5.558879620898312e-07,8.899585851486853e-07,1.5073886105346975e-06,1.0024438472929909e-06,1.4484428732744964e-06,1.370097265392306e-06,1.2078519861285207e-06,4.164598315018494e-06,1.2834741970923344e-06,3.99997705799527e-05,1.851679697364802e-05,4.2956815497898244e-06,6.428849614332939e-06,3.258616633052942e-05,8.858982045852118e-05
3.232659587348956e-12,5.977688659329964e-12,6.12294359795824e-07,9.954154973187781e-07,1.7303986958535202e-06,8.751204285588467e-07,1.345691317437991e-06,6.167841664187301e-07,5.765210047118347e-07,6.017977764044469e-07,8.757715659719263e-06,1.539672178097699e-06,3.722066021756884e-05,2.481995156573869e-05,2.5276774919684214e-06,6.271036553740723e-06,4.40368517674715e-05,0.0001321761939602913
2.7108883859923376e-12,4.006877318094728e-12,4.2149147450607974e-07,1.0252474864561362e-06,2.0414114441246274e-06,8.382688324334569e-07,1.2331046261040927e-06,8.799659561076037e-07,5.429361314359918e-07,6.219024446553021e-07,1.1133667582638121e-05,1.1968104286824367e-06,9.169604901128648e-05,2.7511190430058686e-05,2.976881446887293e-06,6.0985179792026774e-06,5.0008282934221604e-05,5.629077795101731e-05
