iter_times,gain(db),dc_current,phase,GBW(MHZ)
1,77.64,0.0002345,67.2136,38000000.0
2,77.64,0.0002345,67.2136,38000000.0
3,77.64,0.0002345,67.2136,38000000.0
4,77.37829556430685,0.00021736072191012515,103.30600128016698,7892707.57620381
5,77.37829556430685,0.00021736072191012515,103.30600128016698,7892707.57620381
6,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
7,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
8,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
9,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
10,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
11,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
12,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
13,70.24326374350966,0.00019181149592709294,82.7154837279064,28436298.128474407
14,74.5344256182963,0.00018057754604274088,69.74055102342582,37298968.14607989
15,78.08144163907508,0.0001439632089020476,131.60505327112034,4952128.722055056
16,78.08144163907508,0.0001439632089020476,131.60505327112034,4952128.722055056
17,78.08144163907508,0.0001439632089020476,131.60505327112034,4952128.722055056
18,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
19,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
20,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
21,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
22,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
23,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
24,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
25,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
26,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
27,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
28,82.46401630336992,9.535882187761606e-05,89.67346672243261,15415397.483646028
