iter_times,gain(db),dc_current,phase,GBW(MHZ)
1,77.6421495187336,0.00023450214767024115,67.21496029438902,38024652.455766216
2,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
3,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
4,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
5,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
6,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
7,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
8,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
9,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
10,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
11,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
12,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
13,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
14,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
15,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
16,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
17,75.40651435042759,0.00017050825753826143,91.58384420527781,30851255.997365233
18,74.60697835134238,0.00015062010622277837,115.4353162828868,11224442.382979278
19,74.60697835134238,0.00015062010622277837,115.4353162828868,11224442.382979278
20,80.966379038992,0.00011632838204299083,85.1589286002437,21087919.16115225
21,80.966379038992,0.00011632838204299083,85.1589286002437,21087919.16115225
22,79.78830626881117,0.00010664953043630704,100.7917324498216,14477159.666175503
23,80.25628989605369,9.514015608438045e-05,106.13583932830907,10877846.125792852
24,80.25628989605369,9.514015608438045e-05,106.13583932830907,10877846.125792852
25,80.25628989605369,9.514015608438045e-05,106.13583932830907,10877846.125792852
26,80.19429825260394,8.893709963163879e-05,118.22712094654261,5258381.777860049
27,80.19429825260394,8.893709963163879e-05,118.22712094654261,5258381.777860049
28,80.19429825260394,8.893709963163879e-05,118.22712094654261,5258381.777860049
29,80.19429825260394,8.893709963163879e-05,118.22712094654261,5258381.777860049
30,80.19429825260394,8.893709963163879e-05,118.22712094654261,5258381.777860049
31,80.19429825260394,8.893709963163879e-05,118.22712094654261,5258381.777860049
