iter_times,gain(db),dc_current,phase,GBW(MHZ)
1,77.64,0.0002345,67.2136,38000000.0
2,75.06757913364292,0.00022105484007782806,66.65710345219269,25273704.22588344
3,75.06757913364292,0.00022105484007782806,66.65710345219269,25273704.22588344
4,78.50633753253457,0.00016810639687414353,71.31135161263435,42057172.08685025
5,78.50633753253457,0.00016810639687414353,71.31135161263435,42057172.08685025
6,78.50633753253457,0.00016810639687414353,71.31135161263435,42057172.08685025
7,78.50633753253457,0.00016810639687414353,71.31135161263435,42057172.08685025
8,78.50633753253457,0.00016810639687414353,71.31135161263435,42057172.08685025
9,78.15851956824946,0.00016749400222217098,80.30919819196006,16979841.212196283
10,78.15851956824946,0.00016749400222217098,80.30919819196006,16979841.212196283
11,78.15851956824946,0.00016749400222217098,80.30919819196006,16979841.212196283
12,78.15851956824946,0.00016749400222217098,80.30919819196006,16979841.212196283
13,78.15851956824946,0.00016749400222217098,80.30919819196006,16979841.212196283
14,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
15,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
16,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
17,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
18,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
19,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
20,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
21,75.74815778579985,0.00014232193824273545,120.08757825978559,12148039.53069499
22,73.42194835445558,0.00014208942818617199,125.27611945978738,10610920.431386482
23,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
24,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
25,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
26,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
27,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
28,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
29,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
30,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
31,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
32,74.29676310556418,0.00013561495739756454,129.5708718458184,8617416.183404919
33,76.17285775579558,9.740924938855943e-05,124.90367079142172,5067110.329014652
34,71.0755699121342,9.019689612866575e-05,123.26624647624178,5755334.8978813505
35,71.0755699121342,9.019689612866575e-05,123.26624647624178,5755334.8978813505
36,71.0755699121342,9.019689612866575e-05,123.26624647624178,5755334.8978813505
37,70.31996367235234,8.84143884011775e-05,125.84417168473144,4996580.5950257825
38,70.31996367235234,8.84143884011775e-05,125.84417168473144,4996580.5950257825
39,70.31996367235234,8.84143884011775e-05,125.84417168473144,4996580.5950257825
40,70.31996367235234,8.84143884011775e-05,125.84417168473144,4996580.5950257825
41,70.31996367235234,8.84143884011775e-05,125.84417168473144,4996580.5950257825
42,72.41024106597108,8.662359938428064e-05,107.62616427281546,11958748.934285711
43,72.41024106597108,8.662359938428064e-05,107.62616427281546,11958748.934285711
44,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
45,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
46,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
47,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
48,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
49,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
50,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
51,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
52,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
53,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
54,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
55,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
56,76.67430061111985,8.496192811086183e-05,94.35578520074792,14907986.071941255
57,73.12779952200763,8.484011485196432e-05,71.59552841851273,24410200.769927163
58,73.12779952200763,8.484011485196432e-05,71.59552841851273,24410200.769927163
59,73.6630829008516,8.475938226894799e-05,105.85292867152751,6752546.498851488
60,73.6630829008516,8.475938226894799e-05,105.85292867152751,6752546.498851488
61,73.6630829008516,8.475938226894799e-05,105.85292867152751,6752546.498851488
62,73.71889921045913,8.440068359508046e-05,106.084964475166,6648579.580062655
63,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
64,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
65,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
66,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
67,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
68,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
69,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
70,76.87672163574439,8.366521103035463e-05,111.05702125332647,5477903.836709702
71,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
72,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
73,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
74,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
75,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
76,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
77,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
78,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
79,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
80,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
81,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
82,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
83,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
84,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
85,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
86,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
87,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
88,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
89,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
90,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
91,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
92,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
93,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
94,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
95,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
96,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
97,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
98,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
99,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
100,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
101,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
102,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
103,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
104,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
105,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
106,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
107,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
108,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
109,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
110,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
111,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
112,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
113,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
114,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
115,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
116,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
117,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
118,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
119,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
120,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
121,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
122,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
123,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
124,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
125,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
126,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
127,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
128,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
129,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
130,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
131,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
132,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
133,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
134,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
135,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
136,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
137,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
138,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
139,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
140,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
141,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
142,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
143,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
144,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
145,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
146,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
147,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
148,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
149,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
150,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
151,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
152,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
153,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
154,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
155,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
156,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
157,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
158,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
159,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
160,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
161,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
162,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
163,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
164,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
165,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
166,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
167,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
168,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
169,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
170,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
171,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
172,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
173,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
174,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
175,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
176,79.81635838540637,8.347560476043068e-05,96.96645437732079,8949279.62421218
