iter_times,mean,var
1,0.00036,0.0
2,0.00021984766717626005,0.0001279409902908902
3,0.00017643357168694,0.00010286568199229819
4,0.00013850303948853999,1.918447541178528e-05
5,0.00013850303948853999,1.918447541178528e-05
6,0.00013850303948853999,1.918447541178528e-05
7,0.00013519969070328,1.964813271465229e-05
8,0.00013519969070328,1.964813271465229e-05
9,0.00012686929549088,1.0208027402870934e-06
10,0.00012686929549088,1.0208027402870934e-06
11,0.00012686929549088,1.0208027402870934e-06
12,0.00012686929549088,1.0208027402870934e-06
13,0.0001264127786271,0.0
14,0.0001264127786271,0.0
15,0.0001264127786271,0.0
16,0.0001264127786271,0.0
17,0.0001264127786271,0.0
18,0.0001264127786271,0.0
19,0.0001264127786271,0.0
20,0.0001264127786271,0.0
21,0.00011909469903909376,1.5065052216461043e-05
22,0.00011047642037734818,1.980108520245582e-05
23,0.00010908707190534819,1.8611328099287148e-05
24,0.00010777808493000244,2.0252943485564688e-05
25,9.931842796502453e-05,1.8799423885897334e-05
26,9.825235174500454e-05,1.7222738868628358e-05
27,9.517981525276453e-05,1.4188761131321847e-05
28,9.517981525276453e-05,1.4188761131321847e-05
29,9.517981525276453e-05,1.4188761131321847e-05
30,9.517981525276453e-05,1.4188761131321847e-05
31,9.161856141872316e-05,8.16297175659461e-06
32,9.161856141872316e-05,8.16297175659461e-06
33,9.161856141872316e-05,8.16297175659461e-06
34,9.161802736343428e-05,8.163455196165e-06
35,9.161802736343428e-05,8.163455196165e-06
36,8.845510747050867e-05,6.243707281235418e-06
37,8.845510747050867e-05,6.243707281235418e-06
38,8.845510747050867e-05,6.243707281235418e-06
39,8.845510747050867e-05,6.243707281235418e-06
40,8.845510747050867e-05,6.243707281235418e-06
41,8.845510747050867e-05,6.243707281235418e-06
42,7.178546802606433e-05,1.968508059931489e-05
43,6.763378478353843e-05,1.359198448364669e-05
44,6.207433543750084e-05,9.38668506952851e-06
45,6.207433543750084e-05,9.38668506952851e-06
46,6.207286714925431e-05,9.387499259286572e-06
47,6.116415024735034e-05,8.000962975892633e-06
48,5.9807277284562585e-05,4.976099041270294e-06
49,5.9807277284562585e-05,4.976099041270294e-06
50,5.9807277284562585e-05,4.976099041270294e-06
51,5.9807277284562585e-05,4.976099041270294e-06
52,5.9807277284562585e-05,4.976099041270294e-06
53,5.9807277284562585e-05,4.976099041270294e-06
54,5.9807277284562585e-05,4.976099041270294e-06
55,5.95589037402533e-05,4.423766287983632e-06
56,5.95589037402533e-05,4.423766287983632e-06
57,5.95589037402533e-05,4.423766287983632e-06
58,5.95589037402533e-05,4.423766287983632e-06
59,5.95589037402533e-05,4.423766287983632e-06
60,5.95589037402533e-05,4.423766287983632e-06
61,5.5523581977467984e-05,5.388459315414609e-06
62,5.5523581977467984e-05,5.388459315414609e-06
63,5.190329611650668e-05,7.663516839539276e-06
64,4.813457999262027e-05,8.563661016969013e-06
65,4.666099484893493e-05,8.607440947597474e-06
66,4.5763725938741115e-05,9.229423041742483e-06
67,4.5763725938741115e-05,9.229423041742483e-06
68,4.5763725938741115e-05,9.229423041742483e-06
69,4.5763725938741115e-05,9.229423041742483e-06
70,4.5763725938741115e-05,9.229423041742483e-06
71,4.574524791678414e-05,9.206480882181295e-06
72,4.574472259264439e-05,9.206960381147576e-06
73,4.574472259264439e-05,9.206960381147576e-06
74,4.3870587251149115e-05,7.72145620592977e-06
75,4.3870587251149115e-05,7.72145620592977e-06
76,4.2685265361797066e-05,5.338346951961765e-06
77,4.18892246671021e-05,3.934790157133908e-06
78,4.18892246671021e-05,3.934790157133908e-06
79,4.188660750514828e-05,3.930678530274735e-06
80,4.188660750514828e-05,3.930678530274735e-06
